model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama3_8b,CCS,amazon,period,15,5,4,0.12352521746935358,0.11585258402312847
llama3_8b,CCS,amazon,period,15,5,8,0.45000129592332205,0.32354992781177816
llama3_8b,CCS,amazon,period,15,5,16,0.6276702974069667,0.32354992781177816
llama3_8b,CCS,amazon,period,15,5,32,0.687169726080297,0.32354992781177816
llama3_8b,CCS,amazon,period,15,5,64,0.7441741670172571,0.32354992781177816
llama3_8b,CCS,amazon,period,15,5,128,0.7822175175893518,0.32354992781177816
llama3_8b,CCS,amazon,period,15,6,1,0.009781317563558973,0.009781317563558973
llama3_8b,CCS,amazon,period,15,6,2,0.04287745073671368,0.04174687543278085
llama3_8b,CCS,amazon,period,15,6,4,0.12512149829248587,0.11715302771040524
llama3_8b,CCS,amazon,period,15,6,8,0.45654171955017003,0.3284100097523579
llama3_8b,CCS,amazon,period,15,6,16,0.6329676339200361,0.3284100097523579
llama3_8b,CCS,amazon,period,15,6,32,0.6951254843782759,0.3284100097523579
llama3_8b,CCS,amazon,period,15,6,64,0.7517208758483654,0.3284100097523579
llama3_8b,CCS,amazon,period,15,6,128,0.7911432705908878,0.3284100097523579
llama3_8b,CCS,amazon,period,15,7,1,0.009044958749362765,0.009044958749362765
llama3_8b,CCS,amazon,period,15,7,2,0.04432186912265708,0.04338913232306298
llama3_8b,CCS,amazon,period,15,7,4,0.12535889018144689,0.11674181482888799
llama3_8b,CCS,amazon,period,15,7,8,0.46095658084152713,0.3319254243784133
llama3_8b,CCS,amazon,period,15,7,16,0.6427444507340595,0.3319254243784133
llama3_8b,CCS,amazon,period,15,7,32,0.700426666210539,0.3319254243784133
llama3_8b,CCS,amazon,period,15,7,64,0.7521409175523543,0.3319254243784133
llama3_8b,CCS,amazon,period,15,7,128,0.7909608230822142,0.3319254243784133
llama3_8b,CCS,amazon,period,15,8,1,0.009658596628983,0.009658596628983
llama3_8b,CCS,amazon,period,15,8,2,0.04073678987191166,0.039575213963121955
llama3_8b,CCS,amazon,period,15,8,4,0.1239283080013123,0.11635396173944872
llama3_8b,CCS,amazon,period,15,8,8,0.4602562060874421,0.3343758924010074
llama3_8b,CCS,amazon,period,15,8,16,0.6405811581055695,0.3343758924010074
llama3_8b,CCS,amazon,period,15,8,32,0.701197241594205,0.3343758924010074
llama3_8b,CCS,amazon,period,15,8,64,0.7508538801779601,0.3343758924010074
llama3_8b,CCS,amazon,period,15,8,128,0.7911394274596095,0.3343758924010074
llama3_8b,CCS,amazon,period,15,9,1,0.00981003682128265,0.00981003682128265
llama3_8b,CCS,amazon,period,15,9,2,0.04257686628453239,0.041431301212682535
llama3_8b,CCS,amazon,period,15,9,4,0.12394970951342614,0.11532425083016304
llama3_8b,CCS,amazon,period,15,9,8,0.45351380252022194,0.32842529804614357
